ID,satisfaction_level,last_evaluation_rating,projects_worked_on,average_monthly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary,Attrition
110,1,9.5,8,311,4,0,0,marketing,low,1
111,9,9.8,6,253,6,0,0,marketing,low,1
112,7.9,8.9,6,249,5,0,0,sales,low,1
113,9,9.9,6,270,5,0,0,sales,low,1
114,1.1,8.4,8,306,4,0,0,sales,low,1
115,4.3,5.5,3,139,3,0,0,sales,low,1
116,3.1,5.4,6,142,5,0,0,sales,low,1
117,3.2,5,3,145,5,0,0,sales,low,1
118,4.5,5.7,3,168,3,0,0,sales,low,1
119,8.1,9.9,5,269,5,0,0,sales,low,1
120,1.1,7.8,8,288,4,0,0,sales,low,1
121,1,8.8,7,294,4,0,0,sales,low,1
122,7,5.3,3,284,4,0,0,sales,low,1
123,5.4,7.4,5,174,2,0,0,sales,low,1
124,4.1,4.8,3,158,3,0,0,sales,low,1
125,3.8,5,3,150,3,0,0,sales,medium,1
126,3.7,5.1,3,137,3,0,0,sales,medium,1
127,4,4.7,3,156,3,0,0,sales,medium,1
128,8.9,9.9,6,267,5,0,0,accounting,medium,1
129,1.1,8,7,295,4,0,0,accounting,medium,1
130,3.6,5.5,3,151,3,0,0,hr,medium,1
131,4,4.6,3,137,3,0,0,hr,medium,1
132,0.9,8.5,7,307,4,0,0,hr,medium,1
133,3.7,5.5,3,162,3,0,0,technical,medium,1
134,4.4,5.1,3,166,3,0,0,technical,high,1
135,9.2,8.7,5,236,6,1,0,technical,medium,1
136,7.4,9.1,5,242,5,0,0,technical,medium,1
137,2.7,5.4,8,288,3,0,0,technical,low,1
138,1,8.9,8,295,4,0,0,technical,low,1
139,7.7,9.4,6,236,6,0,0,support,low,1
140,9,8.2,6,269,5,0,0,support,low,1
141,7.6,10,6,229,5,0,0,support,low,1
142,7.7,9.9,6,238,5,0,0,support,low,1
143,7.8,8.7,5,238,5,0,0,support,low,1
144,4.4,5,3,138,3,0,0,support,low,1
145,3.8,5.2,3,163,3,0,0,support,low,1
146,4.3,4.6,3,166,3,0,0,technical,low,1
147,3.9,5,5,304,3,0,0,technical,low,1
148,4,5.3,3,161,3,0,0,IT,low,1
149,3.6,5.1,3,165,3,0,0,IT,low,1
150,3.6,4.8,3,168,3,0,0,IT,low,1
151,9,9.8,6,255,5,0,0,IT,low,1
152,4.3,5.3,3,141,3,0,0,IT,low,1
153,8.9,8.7,6,235,5,0,0,product_mng,low,1
154,3.7,5,3,145,3,0,0,product_mng,low,1
155,3.7,5.1,3,163,3,0,0,product_mng,low,1
156,8.7,9,6,262,5,0,0,IT,low,1
157,4,5.6,3,159,3,0,0,accounting,low,1
158,9,9.7,5,268,5,0,0,accounting,low,1
159,3.7,4.6,3,168,3,0,0,hr,low,1
160,4.4,5.4,3,159,3,0,0,hr,low,1
161,7.8,9.8,6,249,6,0,0,marketing,low,1
162,4.2,4.7,3,169,3,0,0,marketing,low,1
163,9.2,9.9,6,265,6,0,0,sales,low,1
164,1.1,8.3,7,254,4,0,0,accounting,low,1
165,4.8,5.7,5,280,4,0,0,technical,low,1
166,8.3,8.5,5,265,5,0,0,management,low,1
167,4,5.3,3,161,3,0,0,marketing,low,1
168,3.8,5.3,3,166,3,0,0,sales,low,1
169,4,5,3,138,3,0,0,sales,low,1
170,8.9,8.6,6,285,5,0,0,sales,low,1
171,3.7,4.8,3,169,3,0,0,sales,low,1
172,4.6,4.9,3,158,3,0,0,sales,low,1
173,8.7,9.1,5,238,5,0,0,sales,low,1
174,1.1,8.4,7,308,4,0,0,sales,low,1
175,7.9,9.2,6,264,6,0,0,sales,low,1
176,1.9,5.9,8,202,3,0,0,sales,low,1
177,6,9.2,3,268,5,0,0,sales,low,1
178,4.2,5.4,3,166,3,0,0,sales,medium,1
179,8.8,8.8,6,242,5,1,0,accounting,medium,1
180,1.1,8.4,7,297,4,0,0,accounting,medium,1
181,8.2,9.7,6,273,5,0,0,hr,medium,1
182,1.1,7.8,7,270,4,0,0,hr,medium,1
183,4.2,5,3,149,3,0,0,hr,medium,1
184,4.5,5.3,3,139,3,0,0,technical,high,1
185,3.8,5.6,3,166,3,0,0,technical,low,1
186,3.8,8.6,7,149,6,0,0,technical,medium,1
187,4.4,5.1,3,137,3,0,0,technical,medium,1
188,1.1,8.4,7,261,4,0,0,technical,medium,1
189,0.9,9.6,7,306,4,0,0,technical,low,1
190,8.1,9.5,6,248,6,0,0,technical,low,1
191,1,9.7,7,277,4,1,0,support,low,1
192,0.9,7.8,7,264,4,0,0,support,low,1
193,8.2,8.1,5,243,4,1,0,support,low,1
194,1,9.8,7,278,4,0,0,support,low,1
195,2.7,5.6,4,311,3,0,0,support,low,1
196,8.3,9.2,6,277,6,0,0,support,low,1
197,4,5.6,3,158,3,0,0,support,low,1
198,1.1,8.3,7,316,4,0,0,support,low,1
199,1.1,7.9,7,302,4,0,1,technical,low,1
200,8.2,9.1,6,242,5,0,0,technical,low,1
201,3.6,4.8,3,147,3,0,0,technical,low,1
202,8.7,8.4,6,241,5,0,0,IT,low,1
203,1.1,9.1,7,318,4,1,0,IT,low,1
204,1,9.3,7,263,4,0,0,IT,medium,1
205,3.8,5.1,3,156,3,0,0,IT,medium,1
206,3.9,5.5,3,166,3,0,0,product_mng,medium,1
207,4,5.2,3,157,3,0,0,product_mng,medium,1
208,7.4,8.4,6,259,5,0,0,product_mng,medium,1
209,4.5,5.5,3,161,3,0,0,IT,medium,1
210,1.2,10,4,288,4,0,0,RandD,medium,1
211,1,7.7,8,260,5,0,0,RandD,medium,1
212,3.7,5.5,3,137,3,0,0,RandD,medium,1
213,8.9,8.7,6,265,5,0,0,RandD,medium,1
214,4.5,4.7,3,145,3,0,0,RandD,medium,1
215,4.1,4.8,3,155,3,0,0,accounting,medium,1
216,1,9.4,7,295,4,0,0,support,medium,1
217,1,9.3,8,315,4,0,0,technical,medium,1
218,4.1,4.9,3,140,3,0,0,marketing,low,1
219,3.7,4.6,3,163,3,0,0,sales,low,1
220,1.1,9.4,7,286,4,0,0,sales,low,1
221,4,4.6,3,140,3,0,0,sales,low,1
222,4.1,5.4,3,163,3,1,0,sales,low,1
223,8.2,8.4,6,254,5,0,0,sales,low,1
224,6.1,4.7,3,263,3,0,0,sales,low,1
225,1.1,9.1,8,297,4,0,0,sales,low,1
226,3.7,4.5,3,141,3,0,0,sales,low,1
227,4.1,5.2,3,145,3,0,0,sales,low,1
228,3.7,5.2,3,167,3,0,0,sales,low,1
229,8.8,9.9,6,272,6,0,0,sales,low,1
230,1,8.5,7,276,4,0,0,sales,low,1
231,3.8,5.7,3,150,3,0,0,sales,low,1
232,1.1,8.5,8,312,4,0,0,sales,low,1
233,0.9,9.8,7,281,4,0,0,sales,low,1
234,4.5,5.2,3,155,3,0,0,sales,medium,1
235,4.5,4.7,3,161,3,0,0,accounting,medium,1
236,7.7,8.7,6,276,5,0,0,accounting,medium,1
237,4.4,5.1,3,150,3,0,0,hr,medium,1
238,3.9,5,3,152,3,0,0,hr,medium,1
239,1,9.1,7,256,4,0,0,hr,medium,1
240,0.9,8.9,8,318,5,0,0,hr,medium,1
241,3.7,4.7,3,151,3,0,0,technical,medium,1
242,9,10,6,242,5,0,0,technical,medium,1
243,4.1,5.6,3,153,3,0,0,technical,medium,1
244,1,8.6,7,288,4,0,0,technical,high,1
245,8.1,10,5,263,5,0,0,technical,low,1
246,1.1,8,7,292,4,0,0,technical,medium,1
247,1.1,8.4,8,274,4,0,0,technical,medium,1
248,4,4.6,3,159,3,0,0,technical,medium,1
249,0.9,8,7,314,5,0,0,technical,medium,1
250,9.1,9.1,5,272,6,0,0,support,low,1
251,3.3,8.8,7,229,5,0,0,support,low,1
252,4.1,5.7,3,146,3,0,0,support,low,1
253,1,8.7,7,300,4,0,0,support,low,1
254,7.2,9.6,6,277,5,0,0,technical,low,1
255,3.7,4.5,3,152,3,0,0,IT,low,1
256,3.6,5.1,3,145,3,0,0,IT,low,1
257,3.9,4.8,3,151,3,0,0,product_mng,medium,1
258,8.6,8.4,6,264,5,0,0,product_mng,medium,1
259,7.3,9.9,6,272,5,0,0,product_mng,medium,1
260,5.6,7.1,5,306,2,0,0,IT,medium,1
261,3.1,5.6,5,248,2,0,0,accounting,medium,1
262,7.7,9.3,5,241,5,0,0,hr,medium,1
263,4.5,4.8,3,154,3,0,0,marketing,medium,1
264,3.8,5.1,3,169,3,0,0,sales,medium,1
265,3.6,4.8,3,166,3,0,0,accounting,high,1
266,1,9.7,7,257,4,0,0,management,medium,1
267,4.2,5.7,3,164,3,1,0,marketing,medium,1
268,7.8,10,5,263,5,0,0,marketing,low,1
269,4.5,5.5,3,158,3,0,0,sales,low,1
270,1.1,9.3,7,292,4,0,0,sales,low,1
271,4.5,4.6,3,138,3,0,0,sales,low,1
272,4.6,5.7,3,149,3,0,0,sales,low,1
273,0.9,7.9,7,303,5,0,0,sales,low,1
274,1,8.7,7,260,4,0,0,sales,low,1
275,7.6,9.2,5,256,5,0,0,sales,low,1
276,7.4,10,6,285,5,0,0,sales,low,1
277,9.2,9.3,6,250,5,0,0,sales,low,1
278,7.6,8.7,6,255,5,0,0,sales,low,1
279,7.3,9.9,6,251,5,0,0,sales,low,1
280,0.9,9.4,7,267,4,0,0,sales,low,1
281,9.1,9.2,5,256,5,0,0,sales,low,1
282,8.2,9.8,5,243,5,0,0,sales,low,1
283,2.8,4.5,7,228,4,0,0,accounting,low,1
284,8.4,9.9,5,272,6,0,0,accounting,medium,1
285,9.1,9.7,6,243,5,0,0,hr,medium,1
286,4.2,4.8,3,165,3,0,0,hr,medium,1
287,1.1,9,7,274,4,0,0,technical,medium,1
288,8.2,8.5,5,233,5,0,0,technical,medium,1
289,4,4.6,3,153,3,0,0,technical,high,1
290,4.5,4.6,3,140,3,0,0,technical,low,1
291,4.2,5.1,3,146,3,0,0,technical,medium,1
292,7.4,9.2,5,271,5,0,0,technical,medium,1
293,5.5,6,4,190,4,0,0,technical,medium,1
294,4.1,5.2,3,137,3,1,0,support,low,1
295,8.9,6.5,6,205,6,0,0,support,low,1
296,4.1,5.7,3,170,3,0,0,support,low,1
297,4.4,5.1,3,160,3,0,0,support,low,1
298,8.7,8.4,5,274,6,0,0,support,low,1
299,1,8.4,7,319,4,0,0,support,low,1
300,4.1,4.7,3,145,3,0,0,support,low,1
301,1.1,8.5,7,271,4,0,0,support,low,1
302,4.3,5.3,3,170,3,0,0,support,low,1
303,4.1,4.8,3,149,3,0,0,technical,low,1
304,3.6,7.8,3,161,4,0,0,technical,low,1
305,8.1,9.8,6,255,5,0,0,IT,low,1
306,3.9,5.4,3,137,3,0,0,IT,low,1
307,4.4,4.6,3,153,3,0,0,IT,low,1
308,1,8.4,6,308,4,0,0,IT,low,1
309,3.6,4.8,3,169,3,0,0,product_mng,low,1
310,8.1,9,5,236,5,0,0,product_mng,medium,1
311,8.5,9.8,6,258,5,0,0,product_mng,medium,1
312,1,8.7,7,296,4,0,0,IT,medium,1
313,3.7,5.4,3,155,3,0,0,RandD,medium,1
314,0.9,9.7,8,264,4,1,0,RandD,medium,1
315,8.6,9.3,6,233,5,0,0,RandD,medium,1
316,7.7,10,5,265,5,0,0,RandD,medium,1
317,4.1,4.8,3,146,3,0,0,marketing,medium,1
318,4,4.8,3,147,3,0,0,sales,medium,1
319,4.3,4.9,3,145,3,0,0,accounting,medium,1
320,8,8.5,5,283,5,0,0,management,low,1
321,3.7,4.8,3,144,3,0,0,marketing,medium,1
322,1,8.5,7,270,4,0,0,sales,low,1
323,4.4,5.3,3,159,3,0,0,sales,low,1
324,8.9,8.5,6,276,5,0,0,sales,low,1
325,3.7,4.9,3,161,3,0,0,sales,low,1
326,1,7.9,7,284,4,0,0,sales,low,1
327,7.7,8.7,5,252,6,0,0,sales,low,1
328,4.2,5.4,3,153,3,1,0,sales,low,1
329,3.8,4.9,3,145,3,0,0,accounting,low,1
330,1.9,10,5,202,4,0,0,accounting,low,1
331,5.3,5.6,5,291,6,0,0,hr,medium,1
332,3.9,5.1,3,161,3,0,0,hr,medium,1
333,1,9.4,7,319,4,0,0,technical,medium,1
334,8.2,9.9,5,273,6,0,0,technical,medium,1
335,5.9,4.9,8,273,4,0,0,technical,medium,1
336,4.3,5.1,3,165,3,0,0,technical,medium,1
337,1.1,9.7,7,299,5,0,0,support,medium,1
338,8.3,9.8,5,269,5,0,0,support,medium,1
339,3.7,5.7,3,165,3,0,0,support,low,1
340,0.9,9.6,7,269,4,0,0,support,low,1
341,1.1,8.9,7,303,4,0,0,support,low,1
342,8.3,9.6,6,285,5,0,0,support,low,1
343,8.8,10,6,229,6,1,0,technical,low,1
344,1,8.9,7,257,4,0,0,technical,low,1
345,0.9,8.6,8,319,4,0,0,technical,low,1
346,3.9,5.1,3,139,3,0,0,IT,low,1
347,8.7,9.4,5,284,5,0,0,IT,low,1
348,7.4,9.9,5,243,5,0,0,IT,low,1
349,7.4,8.2,5,249,6,0,0,IT,low,1
350,7.5,9.9,6,231,5,0,0,product_mng,low,1
351,4.1,5.6,3,160,3,0,0,product_mng,low,1
352,4.1,4.5,3,154,3,1,0,product_mng,low,1
353,0.9,9,8,299,4,0,0,product_mng,low,1
354,0.9,8,7,311,5,0,0,IT,medium,1
355,3.9,5.7,3,155,3,0,0,accounting,medium,1
356,4,5.6,3,147,3,0,0,accounting,medium,1
357,3.7,5.4,3,141,3,1,0,hr,medium,1
358,1,8.4,7,256,4,0,0,hr,medium,1
359,4.3,5.1,3,146,3,0,0,hr,medium,1
360,7.5,8.5,6,250,6,1,0,marketing,medium,1
361,3.7,5.6,3,166,3,0,0,sales,medium,1
362,1.1,8.5,7,315,4,0,0,accounting,medium,1
363,8.7,10,6,271,5,1,0,technical,medium,1
364,8.1,8.7,5,264,5,0,0,marketing,low,1
365,7.8,10,6,246,5,0,0,sales,medium,1
366,3.7,5,3,151,3,0,0,sales,low,1
367,8.5,8.2,5,280,5,0,0,sales,low,1
368,1.1,9.6,7,308,4,0,0,sales,low,1
369,1,9,8,291,4,0,0,sales,low,1
370,4.6,4.8,3,151,3,1,0,sales,low,1
371,4.3,5.5,3,146,3,0,0,sales,low,1
372,1.1,8,8,306,4,0,0,sales,low,1
373,0.9,8.6,7,289,4,0,0,sales,low,1
374,3.7,5.3,3,141,3,0,0,sales,low,1
375,4,5.7,3,170,3,0,0,accounting,low,1
376,4.1,5.3,3,167,3,0,0,accounting,low,1
377,7.9,5.8,4,304,4,0,0,hr,low,1
378,4.4,5.1,3,144,3,0,0,hr,medium,1
379,2.5,4.6,5,224,4,0,0,technical,medium,1
380,4.4,5.2,3,147,3,0,0,technical,medium,1
381,7.3,10,5,262,5,0,0,technical,medium,1
382,7.5,9.7,6,253,6,0,0,technical,medium,1
383,3.6,4.7,3,158,3,0,0,technical,medium,1
384,3.9,4.9,3,139,3,0,0,technical,medium,1
385,5.7,7.2,5,285,6,0,0,technical,medium,1
386,3.9,5.5,3,169,3,0,0,technical,high,1
387,4.4,5.1,3,155,3,0,0,support,low,1
388,8.1,8.8,6,252,5,0,0,support,medium,1
389,7.4,8.7,6,252,5,0,0,support,medium,1
390,4.4,5.6,3,155,3,0,0,support,medium,1
391,4.1,5.6,3,164,3,0,1,support,medium,1
392,4,5.1,3,149,3,0,0,support,low,1
393,4.6,5.7,3,162,3,0,0,support,low,1
394,8,8.3,3,221,3,0,0,support,low,1
395,8.7,9,6,268,5,0,0,support,low,1
396,6.6,6.7,3,265,3,0,0,technical,low,1
397,3.7,5.4,3,142,3,0,0,technical,low,1
398,0.9,8.7,6,273,4,0,0,IT,low,1
399,8.6,8.4,6,232,5,0,0,IT,low,1
400,1.1,9,7,273,4,0,0,IT,low,1
401,3.7,4.6,3,167,3,0,0,IT,low,1
402,1.1,9.2,8,317,4,0,0,IT,low,1
403,7.7,9.8,6,269,6,0,0,product_mng,low,1
404,1,8.4,8,260,4,0,0,product_mng,low,1
405,1.1,7.9,7,302,4,0,0,IT,low,1
406,8.6,9.2,6,262,5,0,0,RandD,low,1
407,3.8,5.6,3,171,3,0,0,RandD,medium,1
408,1.1,8.8,6,260,4,0,0,RandD,medium,1
409,1,8.5,8,289,4,0,0,RandD,medium,1
410,0.9,9.5,8,266,4,0,0,marketing,medium,1
411,3.9,5.3,3,137,3,0,0,sales,medium,1
412,3.7,4.7,3,148,3,1,0,accounting,medium,1
413,8.1,9.7,6,253,5,0,0,support,medium,1
414,0.9,9,8,306,4,0,0,technical,medium,1
415,1,8.8,8,277,4,0,0,management,medium,1
416,3.9,4.9,3,154,3,0,0,marketing,medium,1
417,8.3,9.5,5,261,5,0,0,marketing,medium,1
418,4.3,5.1,3,151,3,0,0,sales,low,1
419,1,8.6,7,257,4,0,0,sales,medium,1
420,1,5.5,3,257,4,0,0,sales,medium,1
421,3.6,5.2,3,156,3,0,0,sales,medium,1
422,3.8,5,3,150,3,0,0,sales,low,1
423,7.8,9.8,6,273,6,0,0,sales,low,1
424,4.1,4.6,3,166,3,1,0,sales,low,1
425,7.2,8.5,6,254,6,0,0,sales,low,1
426,4.6,5.4,3,154,3,0,0,sales,low,1
427,1,9,8,296,4,0,0,sales,low,1
428,3.8,5.6,3,164,3,0,0,sales,low,1
429,8.2,9.2,6,235,5,0,0,sales,low,1
430,3.9,5.7,3,137,3,0,0,sales,low,1
431,4.3,5.2,3,157,3,0,0,sales,low,1
432,4.3,4.8,3,163,3,0,0,accounting,low,1
433,7.4,9.7,5,238,5,0,0,hr,low,1
434,3.7,4.7,3,158,3,0,0,hr,low,1
435,4,5.4,3,151,3,0,0,technical,medium,1
436,5.1,8.3,6,259,4,0,0,technical,medium,1
437,4.6,5,3,161,3,0,0,technical,medium,1
438,4.5,5.4,3,139,3,0,0,technical,medium,1
439,4.6,5,3,166,3,0,0,technical,medium,1
440,0.9,8.8,7,279,4,0,0,technical,medium,1
441,1,8.9,8,318,4,0,0,technical,medium,1
442,7.9,8.6,6,245,5,0,0,support,medium,1
443,4.3,5.5,3,140,3,0,0,support,high,1
444,3.8,5.3,3,156,3,0,0,support,low,1
445,7.7,9.1,6,231,6,0,0,support,medium,1
446,4.4,5,3,140,3,0,0,support,medium,1
447,7.8,8.9,6,284,6,0,0,support,medium,1
448,1,7.9,7,266,5,0,0,support,low,1
449,7.5,8.5,6,277,5,0,0,support,low,1
450,4.6,6.2,7,223,3,0,0,support,low,1
451,1,9.2,7,268,4,0,0,technical,low,1
452,7.2,6,4,163,5,0,0,technical,low,1
453,1.1,9.5,7,255,4,0,0,management,low,1
454,1.1,9.4,7,274,4,0,0,IT,low,1
455,4.6,5.7,3,164,3,0,0,IT,low,1
456,1.1,8.2,7,280,4,0,0,product_mng,low,1
457,7.3,8.9,6,246,6,0,0,product_mng,low,1
458,4.3,4.7,3,168,3,0,0,product_mng,low,1
459,8.6,10,6,239,5,0,0,product_mng,low,1
460,1,8.3,7,279,4,0,0,IT,low,1
461,4.2,10,4,212,3,0,0,sales,medium,1
462,7.9,8.4,5,250,5,0,0,sales,medium,1
463,1,9.6,8,265,4,0,0,marketing,medium,1
464,0.9,9.2,8,264,4,0,0,sales,medium,1
465,0.9,8.2,7,267,4,0,0,accounting,medium,1
466,7.8,7.1,4,259,5,0,0,marketing,medium,1
467,1,8.1,8,301,4,0,0,sales,high,1
468,1.1,8,7,316,4,0,0,sales,low,1
469,4.3,4.8,3,145,3,0,0,sales,medium,1
470,3.8,4.5,3,166,3,0,0,sales,medium,1
471,4.6,5.4,3,153,3,0,0,sales,medium,1
472,8.9,8.2,5,253,5,0,0,sales,medium,1
473,4.5,5,3,157,3,0,0,sales,low,1
474,4.4,5.3,3,169,3,0,0,sales,low,1
475,7.4,5.4,6,226,3,0,0,sales,low,1
476,7.9,9.3,5,236,5,0,0,sales,low,1
477,7.9,9.1,6,281,5,0,0,sales,low,1
478,6.4,9,7,262,2,0,0,sales,low,1
479,4,5.5,3,169,3,0,0,sales,low,1
480,8.4,9.8,6,280,5,0,0,sales,low,1
481,4,5.1,3,154,3,0,0,accounting,low,1
482,4.3,4.7,3,141,3,0,0,accounting,low,1
483,9.1,10,6,254,6,0,0,hr,low,1
484,8,10,6,270,5,0,0,hr,low,1
485,4.2,4.9,3,149,3,0,0,hr,low,1
486,3.1,8.7,5,194,3,0,0,technical,low,1
487,4.4,4.7,3,140,3,0,0,technical,low,1
488,4.5,5.6,3,156,3,0,0,technical,medium,1
489,4.3,4.6,3,159,3,0,0,technical,medium,1
490,4.5,4.6,3,163,3,1,0,technical,medium,1
491,4.3,5.7,3,170,3,0,0,technical,medium,1
492,0.9,8.3,7,292,4,0,0,technical,medium,1
493,7.9,9.4,5,242,5,0,0,technical,medium,1
494,8.5,5.8,4,236,2,0,0,support,medium,1
495,3.8,4.5,3,139,3,0,0,support,medium,1
496,1.1,9.2,8,265,4,0,0,support,medium,1
497,8.3,9.9,6,268,5,0,0,support,high,1
498,4.2,5.6,3,153,3,0,0,support,medium,1
499,1.1,8.7,7,267,4,0,0,support,medium,1
500,1.1,8.5,8,285,4,0,0,support,medium,1
501,4.4,4.9,3,164,3,0,0,support,low,1
502,1.1,9,7,311,4,0,0,technical,low,1
503,3.9,5.2,3,144,3,0,0,technical,low,1
504,1.1,7.8,7,255,4,0,0,technical,low,1
505,3.6,5,3,142,3,0,0,management,low,1
506,4,5,3,137,3,0,0,IT,low,1
507,8.6,8.4,5,256,6,0,0,IT,low,1
508,4.6,4.5,3,148,3,0,1,IT,low,1
509,3.7,5.7,3,139,3,0,0,product_mng,low,1
510,6.6,9.3,6,263,5,0,0,product_mng,low,1
511,3.7,4.8,3,170,3,0,0,product_mng,low,1
512,7.7,9.2,6,245,5,0,0,IT,low,1
513,3.8,5.5,3,161,3,0,0,sales,low,1
514,3.9,5.4,3,137,3,0,0,sales,low,1
515,4.1,5.5,3,161,3,0,0,sales,low,1
516,0.9,9.3,7,259,4,0,0,sales,low,1
