Name,PClass,Age,Sex,Survived,PersonID
Gee Mr Arthur H,1st,47,male,0,89
Gibson Miss Dorothy,1st,22,female,1,90
Gibson Mrs Leonard (Pauline C Boeson),1st,45,female,1,91
Goldenberg Mr Samuel L,1st,49,male,1,92
Goldschmidt Mr George B,1st,71,male,0,93
Gracie Colonel Archibald IV,1st,54,male,1,94
Graham Mr George Edward,1st,38,male,0,95
Graham Miss Margaret Edith,1st,19,female,1,96
Graham Mrs William Thompson (Edith Junkins),1st,58,female,1,97
Greenfield Mrs Leo David (Blanche Strouse),1st,45,female,1,98
Greenfield Mr William Bertram,1st,23,male,1,99
Guggenheim Mr Benjamin,1st,46,male,0,100
Harder Mr George Achilles,1st,25,male,1,101
Harder Mrs George Achilles (Dorothy Annan),1st,21,female,1,102
Harper Mr Henry Sleeper,1st,48,male,1,103
Harper Mrs Henry Sleeper (Myna Haxtun),1st,49,female,1,104
Harris Mr Henry Birkhardt,1st,45,male,0,105
Harris Mrs Henry Birkhardt (Irene Wallach),1st,36,female,1,106
Hays Mr Charles Melville,1st,55,male,0,107
Hays Mrs Charles Melville (Clara Jennings Gregg),1st,52,female,1,108
Hays Miss Margaret Bechstein,1st,24,female,1,109
Hippach Miss Jean Gertrude,1st,16,female,1,110
Hippach Mrs Louis Albert (Ida Sophia Fischer),1st,44,female,1,111
Hogeboom Mrs John C (Anna Andrews),1st,51,female,1,112
Holverson Mr Alexander Oskar,1st,42,male,0,113
Holverson Mrs Alexander Oskar (Mary Aline Towner),1st,35,female,1,114
Homer Mr Harry,1st,35,male,1,115
Hoyt Mr Frederick Maxfield,1st,38,male,1,116
Hoyt Mrs Frederick Maxfield (Jane Anne Forby),1st,35,female,1,117
Isham Miss Anne Elizabeth,1st,50,female,0,118
Ismay Mr Joseph Bruce,1st,49,male,1,119
Jones Mr Charles Cresson,1st,46,male,0,120
Kent Mr Edward Austin,1st,58,male,0,121
Kenyon Mr Frederick R,1st,41,male,0,122
Kimball Mr Edwin Nelson Jr,1st,42,male,1,123
Kimball Mrs Edwin Nelson Jr (Gertrude Parsons),1st,40,female,1,124
Lindeberg-Lind Mr Erik Gustaf,1st,42,male,0,125
Lindstrom Mrs Carl Johan (Sigrid Posse),1st,55,female,1,126
Lines Mrs Ernest H (Elizabeth Lindsey James),1st,50,female,1,127
Lines Miss Mary Conover,1st,16,female,1,128
Long Mr Milton Clyde,1st,29,male,0,129
Longley Miss Gretchen Fiske,1st,21,female,1,130
Loring Mr Joseph Holland,1st,30,male,0,131
Madill Miss Georgette Alexandra,1st,15,female,1,132
Maguire Mr John Edward,1st,30,male,0,133
McCaffry Mr Thomas Francis,1st,46,male,0,134
McCarthy Mr Timothy J,1st,54,male,0,135
McGough Mr James R,1st,36,male,1,136
Meyer Mr Edgar Joseph,1st,28,male,0,137
Millet Mr Francis Davis,1st,65,male,0,138
Minahan Miss Daisy E,1st,33,female,1,139
Minahan Dr William Edward,1st,44,male,0,140
Minahan Mrs William Edward (Lillian E Thorpe),1st,37,female,1,141
Molson Mr Harry Markland,1st,55,male,0,142
Moore Mr Clarence Bloomfield,1st,47,male,0,143
Natsch Mr Charles H,1st,36,male,0,144
Newell Mr Arthur Webster,1st,58,male,0,145
Newell Miss Madeleine,1st,31,female,1,146
Newell Miss Marjorie,1st,23,female,1,147
Newsom Miss Helen Monypeny,1st,19,female,1,148
Nicholson Mr Arthur Ernest,1st,64,male,0,149
Ostby Mr Engelhart Cornelius,1st,64,male,0,150
Ostby Miss Helen Raghnild,1st,22,female,1,151
Ovies y Rodriguez Mr Servando,1st,28,male,0,152
Payne Mr Vivian Ponsonby,1st,22,male,0,153
Penasco Mr Victor de Satode,1st,18,male,0,154
Penasco Mrs Victor de Satode (Josefa de Soto),1st,17,female,1,155
Peuchen Major Arthur Godfrey,1st,52,male,1,156
Porter Mr Walter Chamberlain,1st,46,male,0,157
Potter Mrs Thomas Jr (Lily Alexenia Wilson),1st,56,female,1,158
Robert Mrs Edward Scott (Elisabeth Walton McMillan),1st,43,female,1,159
Roebling Mr Washington Augustus 2nd,1st,31,male,0,160
Rosenbaum (Russell) Miss Edith Louise,1st,33,female,1,161
Rothes the Countess of (Noel Lucy Martha Dyer-Edwardes),1st,27,female,1,162
Rothschild Mr Martin,1st,55,male,0,163
Rothschild Mrs Martin (Elizabeth L Barrett),1st,54,female,1,164
Ryerson Mr Arthur Larned,1st,61,male,0,165
Ryerson Mrs Arthur Larned (Emily Maria Borie),1st,48,female,1,166
Ryerson Miss Emily Borie,1st,18,female,1,167
Ryerson Master John Borie,1st,13,male,1,168
Ryerson Miss Susan (Suzette) Parker,1st,21,female,1,169
Seward Mr Frederic Kimber,1st,34,male,1,170
Shutes Miss Elizabeth W,1st,40,female,1,171
Silverthorne Mr Spencer Victor,1st,36,male,1,172
Silvey Mr William Baird,1st,50,male,0,173
Silvey Mrs William Baird (Alice Munger),1st,39,female,1,174
Simonius-Blumer Col Alfons,1st,56,male,1,175
Sloper Mr William Thompson,1st,28,male,1,176
Smart Mr John Montgomery,1st,56,male,0,177
Smith Mr James Clinch,1st,56,male,0,178
Smith Mr Lucien Philip,1st,24,male,0,179
Smith Mrs Lucien Philip (Mary Eloise Hughes,1st,18,female,1,180
Snyder Mr John Pillsbury,1st,24,male,1,181
Snyder Mrs John Pillsbury (Nelle Stevenson),1st,23,female,1,182
Spedden Mr Frederick Oakley,1st,45,male,1,183
Spedden Mrs Frederick Oakley (Margaretta Corning Stone),1st,40,female,1,184
Spedden Master Robert Douglas,1st,6,male,1,185
Spencer Mr William Augustus,1st,57,male,0,186
Staehlin Dr Max,1st,32,male,1,187
Stead Mr William Thomas,1st,62,male,0,188
Stengel Mr Charles Emil Henry,1st,54,male,1,189
Stengel Mrs Charles Emil Henry (Annie May Morris),1st,43,female,1,190
Stephenson Mrs Walter Bertram (Martha Eustis),1st,52,female,1,191
Stone Mrs George Nelson (Martha E),1st,62,female,1,192
Straus Mr Isidor,1st,67,male,0,193
Straus Mrs Isidor (Ida Blun),1st,63,female,0,194
Sutton Mr Frederick,1st,61,male,0,195
Swift Mrs Frederick Joel (Margaret Welles Barron),1st,46,female,1,196
Taussig Mr Emil,1st,52,male,0,197
Taussig Mrs Emil (Tillie Mandelbaum),1st,39,female,1,198
Taussig Miss Ruth,1st,18,female,1,199
Taylor Mr Elmer Zebley,1st,48,male,1,200
Thayer Mr John Borland,1st,49,male,0,201
Thayer Mrs John Borland (Marian Longstreth Morris),1st,39,female,1,202
Thayer Mr John Borland jr,1st,17,male,1,203
Thorne Mr George (alias of: Mr George Rosenshine),1st,46,male,0,204
Tucker Mr Gilbert Milligan jr,1st,31,male,1,205
Van Derhoef Mr Wyckoff,1st,61,male,0,206
Walker Mr William Anderson,1st,47,male,0,207
Warren Mr Frank Manley,1st,64,male,0,208
Warren Mrs Frank Manley (Anna S Atkinson),1st,60,female,1,209
Weir Col John,1st,60,male,0,210
White Mrs J Stuart (Ella Holmes),1st,55,female,1,211
White Mr Percival Wayland,1st,54,male,0,212
White Mr Richard Frasar,1st,21,male,0,213
Wick Mr George Dennick,1st,57,male,0,214
Wick Mrs George Dennick (Martha Hitchcock),1st,45,female,1,215
Wick Miss Mary Natalie,1st,31,female,1,216
Widener Mr George Dunton,1st,50,male,0,217
Widener Mrs George Dunton (Eleanor Elkins),1st,50,female,1,218
Widener Mr Harry Elkins,1st,27,male,0,219
Willard Miss Constance,1st,20,female,1,220
Williams Mr Charles Duane,1st,51,male,0,221
Williams Mr Richard Norris II,1st,21,male,1,222
Young Miss Marie Grice,1st,36,female,1,223
Harrison Mr William   Henry,1st,40,male,0,224
Keeping Mr Edwin,1st,32,male,0,225
Ringhini Mr Sante,1st,33,male,0,226
Abelson Mr Samuel,2nd,30,male,0,227
Abelson Mrs Samuel (Anna),2nd,28,female,1,228
Andrew Mr Edgar Samuel,2nd,18,male,0,229
Angle Mr William A,2nd,34,male,0,230
Angle Mrs William A (Florence),2nd,32,female,1,231
Ashby Mr John,2nd,57,male,0,232
Bailey Mr Percy Andrew,2nd,18,male,0,233
Baimbrigge Mr Charles R,2nd,23,male,0,234
Balls Mrs Ada E Hall,2nd,36,female,1,235
Banfield Mr Frederick J,2nd,28,male,0,236
Bateman Rev Robert James,2nd,51,male,0,237
Beane Mr Edward,2nd,32,male,1,238
Beane Mrs Edward (Ethel Clarke),2nd,19,female,1,239
Beauchamp Mr Henry James,2nd,28,male,0,240
Becker Mrs Allen Oliver (Nellie E Baumgardner),2nd,36,female,1,241
Becker Miss Marion Louise,2nd,4,female,1,242
Becker Master Richard F,2nd,1,male,1,243
Becker Miss Ruth Elizabeth,2nd,12,female,1,244
Beesley Mr Lawrence,2nd,34,male,1,245
Bentham Miss Lilian W,2nd,19,female,1,246
Berriman Mr William S,2nd,23,male,0,247
Botsford Mr William Hull,2nd,26,male,0,248
Bracken Mr James H,2nd,27,male,0,249
Brown Miss Edith E,2nd,15,female,1,250
Brown Mr Thomas William Solomon,2nd,45,male,0,251
Brown Mrs Thomas William Solomon (Elizabeth C),2nd,40,female,1,252
Bryhl Miss Dagmar,2nd,20,female,1,253
Bryhl Mr Kurt Arnold Gottfrid,2nd,25,male,0,254
Buss Miss Kate,2nd,36,female,1,255
Butler Mr Reginald Fenton,2nd,25,male,0,256
Bystrom Mrs Carolina,2nd,42,female,1,257
Caldwell Mr Albert Francis,2nd,26,male,1,258
Caldwell Mrs Albert Francis (Sylvia Mae Harbaugh),2nd,26,female,1,259
Caldwell Master Alden Gates,2nd,0.83,male,1,260
Cameron Miss Clear,2nd,31,female,1,261
Carbines Mr William,2nd,19,male,0,262
Carter Rev Ernest Courtenay,2nd,54,male,0,263
Carter Mrs Ernest Courtenay (Lillian Hughes),2nd,44,female,0,264
Chapman Mr Charles Henry,2nd,52,male,0,265
Chapman Mr John Henry,2nd,30,male,0,266
Chapman Mrs John Henry (Elizabeth Lawry),2nd,30,female,0,267
Clarke Mr Charles V,2nd,29,male,0,268
Coleridge Mr Reginald Charles,2nd,29,male,0,269
Collander Mr Erik,2nd,27,male,0,270
Collett Mr Sidney C Stuart,2nd,24,male,1,271
Collyer Mr Harvey,2nd,35,male,0,272
Collyer Mrs Harvey (Charlotte Tate),2nd,31,female,1,273
Collyer Miss Marjorie,2nd,8,female,1,274
Cook Mrs Selena Rogers,2nd,22,female,0,275
Corbett Mrs Walter H (Irene Colvin),2nd,30,female,0,276
Cotterill Mr Harry,2nd,20,male,0,277
Davies Mr Charles Henry,2nd,21,male,0,278
Davis Mrs Agnes,2nd,49,female,1,279
Davis Master John Morgan,2nd,8,male,1,280
Davis Miss Mary,2nd,28,female,1,281
Deacon Mr Percy,2nd,18,male,0,282
del Carlo Mr Sebastiano,2nd,28,male,0,283
del Carlo Mrs Sebastiano (Argenia Genovese),2nd,22,female,1,284
Denbury Mr Herbert,2nd,25,male,0,285
Dibden Mr William,2nd,18,male,0,286
Doling Mrs Ada,2nd,32,female,1,287
Doling Miss Elsie,2nd,18,female,1,288
Drew Mr James Vivian,2nd,42,male,0,289
Drew Mrs James Vivian (Lulu Thorne Christian),2nd,34,female,1,290
Drew Master Marshall Brines,2nd,8,male,1,291
Eitemiller Mr George Floyd,2nd,23,male,0,292
Enander Mr Ingvar,2nd,21,male,0,293
Fahlstrom Mr Arne Jonas,2nd,19,male,0,294
Fox Mr Stanley H,2nd,38,male,0,295
Funk Miss Annie C,2nd,38,female,0,296
Fynney Mr Joseph J,2nd,35,male,0,297
Gale Mr Harry,2nd,35,male,0,298
Gale Mr Shadrach,2nd,38,male,0,299
Garside Miss Ethel,2nd,24,female,1,300
Gaskell Mr Alfred,2nd,16,male,0,301
Gavey Mr Lawrence,2nd,26,male,0,302
Gilbert Mr William,2nd,45,male,0,303
Giles Mr Edgar,2nd,24,male,0,304
Giles Mr Frederick,2nd,21,male,0,305
Giles Mr Ralph,2nd,22,male,0,306
Gillespie Mr William,2nd,34,male,0,307
Givard Mr Hans Christensen,2nd,30,male,0,308
Greenberg Mr Samuel,2nd,50,male,0,309
Hale Mr Reginald,2nd,30,male,0,310
Hamalainen Mrs William (Anna),2nd,23,female,1,311
Hamalainen Master Viljo,2nd,1,male,1,312
Harbeck Mr William H,2nd,44,male,0,313
Harper Rev John,2nd,28,male,0,314
Harper Miss Nina,2nd,6,female,1,315
Harris Mr George,2nd,30,male,1,316
Hart Mr Benjamin,2nd,43,male,0,317
Hart Mrs Benjamin (Esther),2nd,45,female,1,318
Hart Miss Eva Miriam,2nd,7,female,1,319
Herman Miss Alice,2nd,24,female,1,320
Herman Miss Kate,2nd,24,female,1,321
Herman Mr Samuel,2nd,49,male,0,322
Herman Mrs Samuel (Jane Laver),2nd,48,female,1,323
Hickman Mr Leonard Mark,2nd,34,male,0,324
Hickman Mr Lewis,2nd,32,male,0,325
Hickman Mr Stanley George,2nd,21,male,0,326
Hiltunen Miss Marta,2nd,18,female,0,327
Hocking Mrs Elizabeth,2nd,53,female,1,328
Hocking Mr George,2nd,23,male,0,329
Hocking Miss Ellen (Nellie),2nd,21,female,1,330
Hodges Mr Henry Price,2nd,52,male,0,331
Hold Mr Stephen,2nd,42,male,0,332
Hold Mrs Stephen (Annie Margaret),2nd,36,female,1,333
Hood Mr Ambrose Jr,2nd,21,male,0,334
Hosono Mr Masafumi,2nd,41,male,1,335
Hunt Mr George Henry,2nd,33,male,0,336
Ilett Miss Bertha,2nd,17,female,1,337
Jerwan Mrs Amin S (Marie Thuillard),2nd,23,female,1,338
Kantor Mr Sinai,2nd,34,male,0,339
Karnes Mrs J Frank (Claire Bennett),2nd,22,female,0,340
Kelly Mrs Florence (Fannie),2nd,45,female,1,341
Kvillner Mr Johan Henrik Johannesson,2nd,31,male,0,342
Lahtinen Rev William,2nd,30,male,0,343
Lahtinen Mrs William (Anna Sylvan),2nd,26,female,0,344
Lemore Mrs Amelia,2nd,34,female,1,345
LaRoche Mr Joseph,2nd,26,male,0,346
LaRoche Mrs Joseph (Juliet),2nd,22,female,1,347
LaRoche Miss Louise,2nd,1,female,1,348
LaRoche Miss Simonne,2nd,3,female,1,349
Leyson Mr Robert William Norman,2nd,25,male,0,350
Louch Mr Charles Alexander,2nd,48,male,0,351
Mack Mrs Mary,2nd,57,female,0,352
Mallet Master Andre,2nd,2,male,1,353
Mantvila Rev Joseph,2nd,27,male,0,354
Marshall Mrs Kate Louise Phillips,2nd,19,female,1,355
Matthews Mr William John,2nd,30,male,0,356
Maybery Mr Frank H,2nd,20,male,0,357
McCrae Mr Arthur Gordon,2nd,45,male,0,358
McKane Mr Peter D,2nd,46,male,0,359
Mellenger Mrs Elizabeth Anne,2nd,41,female,1,360
Mellenger Miss Madeleine Violet,2nd,13,female,1,361
Mellor Mr William John,2nd,19,male,1,362
Meyer Mr August,2nd,30,male,0,363
Milling Mr Jacob Christian,2nd,48,male,0,364
Mitchell Mr Henry Michael,2nd,71,male,0,365
Moraweck Dr Ernest,2nd,54,male,0,366
Myles Mr Thomas Francis,2nd,64,male,0,367
Nasser (Nasrallah) Mr Nicholas,2nd,32,male,0,368
Nasser (Nasrallah) Mrs Nicholas,2nd,18,female,1,369
Navratil Master Edmond Roger,2nd,2,male,1,370
Navratil Mr Michel,2nd,32,male,0,371
Navratil Master Michel M,2nd,3,male,1,372
Nesson Mr Israel,2nd,26,male,0,373
Nicholls Mr Joseph Charles,2nd,19,male,0,374
Nourney Mr Alfred (aka Baron von Drachstedt),2nd,20,male,1,375
Nye Mrs Elizabeth Ramell,2nd,29,female,1,376
Otter Mr Richard,2nd,39,male,0,377
Oxenham Mr Percy Thomas,2nd,22,male,1,378
Pain Dr Alfred,2nd,24,male,0,379
Parker Mr Clifford R,2nd,28,male,0,380
Parrish Mrs Lutie Davis,2nd,50,female,1,381
Pengelly Mr Frederick,2nd,20,male,0,382
Peruschitz Rev Joseph M,2nd,40,male,0,383
Phillips Miss Alice,2nd,42,female,1,384
Phillips Mr Robert,2nd,21,male,0,385
Pinsky Miss Rosa,2nd,32,female,1,386
Ponesell Mr Martin,2nd,34,male,0,387
Quick Mrs Frederick C (Jane Richards),2nd,33,female,1,388
Quick Miss Phyllis May,2nd,2,female,1,389
Quick Miss Winifred Vera,2nd,8,female,1,390
Reeves Mr David,2nd,36,male,0,391
Renouf Mr Peter Henry,2nd,34,male,0,392
Renouf Mrs Peter Henry (Lillian Jefferys),2nd,30,female,1,393
Reynaldo Mrs Encarnacion,2nd,28,female,1,394
Richard Mr Emil,2nd,23,male,0,395
Richards Master George Sidney,2nd,0.8,male,1,396
Richards Mrs Sidney (Emily Hocking),2nd,25,female,1,397
Richards Master William Rowe,2nd,3,male,1,398
Ridsdale Miss Lucy,2nd,50,female,1,399
Rugg Miss Emily,2nd,21,female,1,400
Shelley Mrs William (Imanita),2nd,25,female,1,401
Silven Miss Lyyli,2nd,18,female,1,402
Sincock Miss Maude,2nd,20,female,1,403
Siukonnen Miss Anna,2nd,30,female,1,404
Sjostedt Mr Ernst Adolf,2nd,59,male,0,405
Slayter Miss Hilda Mary,2nd,30,female,1,406
Slemen Mr Richard James,2nd,35,male,0,407
Smith (Schmidt) Mr Augustus,2nd,22,male,0,408
Sobey Mr Hayden,2nd,25,male,0,409
Stanton Mr Samuel Ward,2nd,41,male,0,410
Stokes Mr Philip Joseph,2nd,25,male,0,411
Sweet Mr George,2nd,14,male,0,412
Toomey Miss Ellen,2nd,50,female,1,413
Troupiansky Mr Moses Aaron,2nd,22,male,0,414
Troutt Miss Edwina Celia,2nd,27,female,1,415
Turpin Mr William John,2nd,29,male,0,416
Turpin Mrs William John (Dorothy Anne Wonnacott),2nd,27,female,0,417
Veale Mr James,2nd,30,male,0,418
Waelens Mr Achille,2nd,22,male,0,419
Walcroft Miss Nellie,2nd,35,female,1,420
Ware Mr John James,2nd,30,male,0,421
Ware Mrs John James (Florence Louise Long),2nd,28,female,1,422
Ware Mr William J,2nd,23,male,0,423
Watt Miss Bertha,2nd,12,female,1,424
Watt Mrs James (Bessie Inglis Milne),2nd,40,female,1,425
Webber Miss Susan,2nd,36,female,1,426
Weisz Mr Leopold,2nd,28,male,0,427
Weisz Mrs Leopold (Mathilde),2nd,32,female,1,428
Wells Mrs Arthur H (Addie Trevaskis),2nd,29,female,1,429
Wells Miss Joan,2nd,4,female,1,430
Wells Master Ralph Lester,2nd,2,male,1,431
West Mr Edwy Arthur,2nd,36,male,0,432
West Mrs Edwy Arthur (Ada Mary),2nd,33,female,1,433
Wilhelms Mr Charles,2nd,32,male,1,434
Wright Miss Marion,2nd,26,female,1,435
Aldworth Mr Charles Augustus,2nd,30,male,0,436
Brown Miss Mildred,2nd,24,female,1,437
Swane Mr George,2nd,18,male,0,438
Abbing Mr Anthony,3rd,42,male,0,439
Abbott Master Eugene Joseph,3rd,13,male,0,440
Abbott Mr Rossmore Edward,3rd,16,male,0,441
Abbott Mrs Stanton (Rosa),3rd,35,female,1,442
Abelseth Miss Anna Karen,3rd,16,female,1,443
Abelseth Mr Olaus,3rd,25,male,1,444
Abraham Mrs Joseph (Sophie Easu),3rd,18,female,1,445
Abrahamsson Mr August,3rd,20,male,1,446
Adahl Mr Mauritz Nils Martin,3rd,30,male,0,447
Adams Mr John,3rd,26,male,0,448
Ahlin Mrs Johanna Persdotter,3rd,40,female,0,449
Ahmed Mr Ali,3rd,24,male,0,450
Aijo-Nirva Mr Isak,3rd,41,male,0,451
Aks Mrs Sam (Leah Rosen),3rd,18,female,1,452
Aks Master Philip,3rd,0.83,male,1,453
Alexander Mr William,3rd,23,male,0,454
Alhomaki Mr Ilmari Rudolf,3rd,20,male,0,455
Ali Mr William,3rd,25,male,0,456
Allen Mr William Henry,3rd,35,male,0,457
Allum Mr Owen George,3rd,17,male,0,458
Andersen Mr Albert Karvin,3rd,32,male,0,459
Andersen Mr Thor Olsvigen,3rd,20,male,0,460
Andersson Mr Anders Johan,3rd,39,male,0,461
Andersson Mrs Anders Johan (Alfrida K Brogren),3rd,39,female,0,462
Andersson Miss Ebba Iris,3rd,6,female,0,463
Andersson Miss Ellis Anna Maria,3rd,2,female,0,464
Andersson Miss Erna,3rd,17,female,1,465
Andersson Miss Ida Augusta Margareta,3rd,38,female,0,466
Andersson Miss Ingeborg Constancia,3rd,9,female,0,467
Andersson Mr Johan Samuel,3rd,26,male,0,468
Andersson Miss Sigrid Elizabeth,3rd,11,female,0,469
Andersson Master Sigvard Harald Elias,3rd,4,male,0,470
Andreasson Mr Paul Edvin,3rd,20,male,0,471
Angheloff Mr Minko,3rd,26,male,0,472
Arnold Mr Josef,3rd,25,male,0,473
Arnold Mrs Josef (Josephine Frank),3rd,18,female,0,474
Aronsson Mr Ernst Axel Algot,3rd,24,male,0,475
Asim Mr Adola,3rd,35,male,0,476
Asplund Mr Carl Oscar Vilhelm Gustafsson,3rd,40,male,0,477
Asplund Mrs Carl Oscar (Selma Augusta Johansson),3rd,38,female,1,478
Asplund Master Carl Edgar,3rd,5,male,0,479
Asplund Master Clarence Gustaf Hugo,3rd,9,male,0,480
Aspland Master Edvin Rojj Felix,3rd,3,male,1,481
Asplund Master Filip Oscar,3rd,13,male,0,482
Asplund Mr John Charles,3rd,23,male,1,483
Asplund Miss Lillian Gertrud,3rd,5,female,1,484
Assaf Mrs Mariana,3rd,45,female,1,485
Assam Mr Ali,3rd,23,male,0,486
Attalah Miss Malaka,3rd,17,female,0,487
Attala (Kalil) Mr Solomon,3rd,27,male,0,488
Augustsson Mr Albert,3rd,23,male,0,489
Baccos Mr Rafoul,3rd,20,male,0,490
Backstrom Mr Karl Alfred,3rd,32,male,0,491
Backstrom Mrs Karl Alfred (Maria Mathilda Gustafsson),3rd,33,female,1,492
Baclini Miss Eugenie,3rd,3,female,1,493
Badman Miss Emily Louisa,3rd,18,female,1,494
Badt Mr Mohamed,3rd,40,male,0,495
Balkic Mr Cerin,3rd,26,male,0,496
Banoura Miss Ayout,3rd,15,female,1,497
Barbara Mrs Catherine,3rd,45,female,0,498
Barbara Miss Saude,3rd,18,female,0,499
Barry Miss Julia,3rd,27,female,0,500
Barton Mr David,3rd,22,male,0,501
Beavan Mr William Thomas,3rd,19,male,0,502
Bengtsson Mr John Viktor,3rd,26,male,0,503
Berglund Mr Karl Ivar Sven,3rd,22,male,0,504
Betros Mr Tannous,3rd,20,male,0,505
Bing Mr Lee,3rd,32,male,1,506
Birkeland Mr Hans,3rd,21,male,0,507
Bjorklund Ernst Herbert,3rd,18,male,0,508
Bostandyeff Mr Guentcho,3rd,26,male,0,509
Boulos Master Akar,3rd,6,male,0,510
Boulos Miss Laura,3rd,9,female,0,511
Bourke Mr John,3rd,40,male,0,512
